参加枠名,ユーザー名,表示名,コメント,参加ステータス,出欠ステータス,更新日時,受付番号
一般参加枠,Yusuke_Kimura,Yusuke_Kimura,Red Hat Tech Night 2018.11.08 に参加を申し込みました！,補欠,,2018年11月5日 11時58分,1420950
一般参加枠,kouji,kouji,Red Hat Tech Night 2018.11.08に参加を申し込みました！,補欠,,2018年11月5日 12時16分,1420992
一般参加枠,ta-shimizu,ta-shimizu,Red Hat Tech Night 2018.11.08 に参加を申し込みました！,補欠,,2018年11月5日 14時03分,1421261
一般参加枠,wasd,wasd,Red Hat Tech Night 2018.11.08 に参加を申し込みました！,補欠,,2018年11月5日 15時31分,1421521
一般参加枠,hichon,hichon,Red Hat Tech Night 2018.11.08 に参加を申し込みました！,補欠,,2018年11月5日 19時34分,1422089
一般参加枠,ENOMOTOQ,ENOMOTOQ,Red Hat Tech Night 2018.11.08に参加を申し込みました！,補欠,,2018年11月6日 06時31分,1422773
一般参加枠,nume_46664,noharaak,Red Hat Tech Night 2018.11.08 に参加を申し込みました！,補欠,,2018年11月6日 09時39分,1422988
一般参加枠,SotaroMorita,SotaroMorita,Red Hat Tech Night 2018.11.08に参加を申し込みました！,補欠,,2018年11月6日 10時32分,1423091
一般参加枠,KennichiHoshi,KennichiHoshi,Red Hat Tech Night 2018.11.08 に参加を申し込みました！,補欠,,2018年11月6日 14時27分,1423558
一般参加枠,georgeorge,georgeorge,Red Hat Tech Night 2018.11.08 に参加を申し込みました！,補欠,,2018年11月7日 09時08分,1424930
一般参加枠,moruxa,moruxa,Red Hat Tech Night 2018.11.08 に参加を申し込みました！,補欠,,2018年11月7日 10時43分,1425122
一般参加枠,Hanato,Hanato,Red Hat Tech Night 2018.11.08 に参加を申し込みました！,補欠,,2018年11月7日 14時35分,1425569
一般参加枠,ryosuke927,ryosuke927,Red Hat Tech Night 2018.11.08 に参加を申し込みました！,補欠,,2018年11月7日 14時57分,1425619
一般参加枠,kmaeda_z,kmaeda_z,Red Hat Tech Night 2018.11.08 に参加を申し込みました！,補欠,,2018年11月7日 16時26分,1425806
一般参加枠,rum_ice,nam,Red Hat Tech Night 2018.11.08 に参加を申し込みました！,補欠,,2018年11月7日 16時51分,1425870
一般参加枠,ShinFukuda,ShinFukuda,Red Hat Tech Night 2018.11.08 に参加を申し込みました！,補欠,,2018年11月7日 16時54分,1425880
一般参加枠,Initialwest,Initialwest,Red Hat Tech Night 2018.11.08 に参加を申し込みました！,補欠,,2018年11月7日 17時29分,1425962
一般参加枠,qzlaobi,qzlaobi,Red Hat Tech Night 2018.11.08 に参加を申し込みました！,補欠,,2018年11月7日 21時20分,1426476
